id,pre_node,suc_node,length_m
1,0,1,6.943
2,1,2,192.911
3,2,3,7.290
4,3,4,7.292
5,4,5,7.291
6,5,6,7.287
7,6,7,7.289
8,7,8,9.898
9,8,9,27.293
10,9,10,9.413
11,10,11,7.523
12,11,12,6.880
13,12,13,7.267
14,13,14,9.674
15,8,15,11.303
16,15,16,7.524
17,16,17,7.430
18,17,18,7.198
19,18,19,7.198
20,19,20,7.663
21,20,21,10.199
22,21,22,40.987
23,22,23,9.260
24,21,24,9.803
25,24,25,7.290
26,25,26,7.290
27,26,27,7.294
28,27,28,7.294
29,28,29,7.290
30,29,30,9.582
31,30,31,33.593
32,31,32,22.447
33,30,33,10.613
34,33,34,7.290
35,34,35,7.293
36,35,36,7.295
37,36,37,7.288
38,37,38,7.288
39,38,39,11.222
40,39,40,39.616
41,40,41,8.373
42,39,42,8.479
43,42,43,7.218
44,43,44,7.657
45,44,45,7.931
46,45,46,7.369
47,46,47,7.674
48,47,48,41.702
49,48,49,6.947
50,49,50,6.035
51,50,51,7.252
52,51,52,10.191
53,52,533,14.008
54,1,54,24.677
55,54,55,82.098
56,55,56,31.962
57,56,57,20.630
58,56,58,20.391
59,58,59,29.545
60,56,60,30.384
61,60,61,15.384
62,60,62,20.350
63,62,63,4.955
64,63,64,24.483
65,55,65,23.015
66,65,66,16.215
67,66,67,11.514
68,67,68,7.297
69,68,69,18.446
70,69,70,7.302
71,70,71,15.978
72,71,72,7.347
73,72,73,7.347
74,73,74,7.361
75,66,75,12.052
76,75,76,7.105
77,76,77,7.105
78,77,78,7.105
79,78,79,7.105
80,79,80,7.105
81,80,81,15.275
82,81,82,7.307
83,82,83,7.309
84,83,84,7.309
85,66,85,26.390
86,85,86,24.300
87,86,87,7.315
88,87,88,18.205
89,88,89,7.350
90,89,90,7.338
91,90,91,7.329
92,91,92,7.318
93,85,93,13.180
94,93,94,8.832
95,94,95,16.016
96,95,96,8.830
97,96,97,16.722
98,97,98,8.830
99,85,99,28.702
100,99,100,11.762
101,100,101,7.311
102,101,102,18.215
103,102,103,7.309
104,103,104,15.791
105,104,105,7.484
106,105,106,7.382
107,106,107,7.317
108,99,108,12.277
109,108,109,8.828
110,109,110,16.132
111,110,111,8.826
112,99,112,30.313
113,112,113,5.470
114,113,114,26.012
115,114,115,7.300
116,115,116,26.681
117,116,117,7.331
118,117,118,17.455
119,112,119,1.782
120,119,120,26.893
121,120,121,7.302
122,65,122,71.918
123,122,123,20.516
124,123,124,7.631
125,124,125,17.040
126,125,126,24.791
127,124,127,18.027
128,127,128,28.338
129,128,129,14.412
130,129,130,10.630
131,122,131,74.929
132,131,132,32.871
133,132,133,7.721
134,133,134,10.579
135,132,135,16.928
136,135,136,7.525
137,136,137,7.494
138,137,138,17.133
139,138,139,7.403
140,132,140,79.348
141,140,141,9.869
142,141,142,17.547
143,142,143,23.898
144,143,144,20.420
145,144,145,20.093
146,145,146,16.861
147,146,147,47.861
148,147,148,6.829
149,146,149,3.449
150,149,150,18.933
151,150,151,23.135
152,151,152,21.552
153,152,153,21.219
154,153,154,25.244
155,131,155,53.381
156,155,156,21.355
157,156,157,17.815
158,157,158,6.448
159,158,159,14.838
160,159,160,12.732
161,160,161,13.723
162,161,162,21.075
163,162,163,20.641
164,163,164,20.892
165,164,165,33.529
166,165,166,3.829
167,164,167,26.498
168,167,168,95.515
169,168,169,32.181
170,169,170,17.118
171,54,171,116.429
172,171,172,26.393
173,172,173,6.823
174,173,174,19.804
175,174,175,15.541
176,175,176,10.422
177,176,177,24.466
178,177,178,12.872
179,178,179,7.005
180,179,180,10.767
181,180,181,11.902
182,181,182,11.847
183,178,183,21.640
184,183,184,24.404
185,184,185,22.493
186,185,186,10.356
187,186,187,12.137
188,187,188,7.343
189,188,189,19.136
190,171,190,120.086
191,190,191,26.997
192,191,192,16.258
193,192,193,24.114
194,191,194,38.931
195,194,195,18.659
196,195,196,8.735
197,196,197,13.603
198,194,198,20.686
199,198,199,35.499
200,199,200,17.342
201,200,201,15.907
202,201,202,9.946
203,201,203,17.576
204,203,204,25.148
205,204,205,25.527
206,205,206,25.114
207,206,207,46.738
208,207,208,19.664
209,199,209,15.598
210,209,210,8.621
211,210,211,27.327
212,211,212,8.612
213,212,213,31.798
214,213,214,48.374
215,214,215,31.690
216,215,216,89.055
